STUDENT_ID,SCHEMA_ID,LOG_TIME,ARTEFACT_DIMENSION,ALGORITHM_DIMENSION,AGE_CATEGORY,AGE,GENDER,SESSION_ID,HARMOS_GRADE,SCHOOL_ID,CANTON_NAME,CAT_SCORE,DOMAIN
19,11,161.0,0.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),1.0,Virtual
19,12,253.0,0.0,2.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
20,1,52.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,2,28.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,3,47.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,4,35.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,5,41.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,6,38.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,7,202.0,0.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),1.0,Virtual
20,8,145.0,0.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),1.0,Virtual
20,9,148.0,0.0,0.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),0.0,Virtual
20,10,77.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,11,91.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
20,12,113.0,1.0,0.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),1.0,Virtual
21,1,26.0,1.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
21,2,86.0,1.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
21,3,54.0,1.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
21,4,153.0,1.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
21,5,33.0,1.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
21,6,28.0,1.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
21,7,71.0,0.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),1.0,Virtual
21,8,63.0,0.0,0.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),0.0,Virtual
