STUDENT_ID,SCHEMA_ID,ARTEFACT_DIMENSION,ALGORITHM_DIMENSION,AGE_CATEGORY,AGE,GENDER,SESSION_ID,HARMOS_GRADE,SCHOOL_ID,CAT_SCORE,DOMAIN,CANTON_NAME
19,6,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
19,7,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
19,8,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
19,9,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
19,10,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
19,11,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
19,12,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
20,1,2,1,From 14 to 16 years old,15,Female,3.0,11,C,3,Unplugged,Ticino (TI)
20,2,2,1,From 14 to 16 years old,15,Female,3.0,11,C,3,Unplugged,Ticino (TI)
20,3,2,1,From 14 to 16 years old,15,Female,3.0,11,C,3,Unplugged,Ticino (TI)
20,4,2,1,From 14 to 16 years old,15,Female,3.0,11,C,3,Unplugged,Ticino (TI)
20,5,2,1,From 14 to 16 years old,15,Female,3.0,11,C,3,Unplugged,Ticino (TI)
20,6,2,1,From 14 to 16 years old,15,Female,3.0,11,C,3,Unplugged,Ticino (TI)
20,7,2,2,From 14 to 16 years old,15,Female,3.0,11,C,4,Unplugged,Ticino (TI)
20,8,2,2,From 14 to 16 years old,15,Female,3.0,11,C,4,Unplugged,Ticino (TI)
20,9,2,2,From 14 to 16 years old,15,Female,3.0,11,C,4,Unplugged,Ticino (TI)
20,10,2,1,From 14 to 16 years old,15,Female,3.0,11,C,3,Unplugged,Ticino (TI)
20,11,2,2,From 14 to 16 years old,15,Female,3.0,11,C,4,Unplugged,Ticino (TI)
20,12,2,0,From 14 to 16 years old,15,Female,3.0,11,C,2,Unplugged,Ticino (TI)
21,1,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
21,2,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
21,3,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
21,4,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
21,5,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
21,6,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
21,7,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
21,8,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
21,9,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
21,10,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
21,11,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
21,12,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
22,1,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
22,2,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
22,3,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
22,4,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
22,5,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
22,6,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
22,7,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
22,8,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
